"SITE_ID","YEAR","VISIT_NO","SAMPLED","DATE_COL","DATECHEM","TEAM_ID","SAMP_LOC","PHSTVL","PHSTVLF","COND","CONDF","ANC","ANCF","TURB","TURBF","TSS","TSSF","COLOR","COLORF","DOC","DOCF","DIC","DICF","PTL","PTLF","SE","SEF","CA","CAF","MG","MGF","NA","NAF","K","KF","NH4","NH4F","SO4","SO4F","NO3","NO3F","CL","CLF","NTL","NTLF","ZN","ZNF","SIO2","SIO2F","H","OH","HCO3","CO3","ALKCALC","CATSUM","ANSUM","ANDEF","SOBC","IONSTR","BALANCE","ORGION","CONCAL","CONDHO","DAY_SHIP","COM_LAB","COM_FLD","COM_IM" 
"OWW04440-0636",2004,1,"Yes",09/21/2004,09/21/2004,"2","F",7.91," ",726,"H8",5637.3,"H9",2.46," ",3.8,"H16",15,"H7",2.89,"H57",65.85,"H41",79," ",0.0,"B",3280.4," ",2723.8," ",1678.1," ",87.9," ",4.9," ",1851.6,"H8",132.1,"H8",501.8,"H8",2328," ",36.2," ",11.45," ",0.012,0.813,5315.275,40.508,5356.23,7775.09,7842.05,-66.97,7770.34,0.02,-0.43,28.7,865.65,744.78,2," "," "," " 
"OWW04440-0640",2004,1,"Yes",10/14/2004,10/14/2004,"2","F",7.38,"H4",392," ",1847.3," ",1.09,"H4",8.6," ",10,"H4",1.89,"H20",24.42," ",6,"H35",0.8," ",2181.3," ",1060.2," ",572.1," ",54.8," ",0.6," ",1678.4," ",1.9," ",480.1," ",86,"H35",0.0,"B",7.70," ",0.042,0.24,1857.348,4.177,1861.6,3869.03,4022.24,-153.21,3868.43,0.011,-1.94,18.64,472.69,391.93,1," "," "," " 
"OWW04440-0646",2004,1,"Yes",08/24/2004,08/24/2004,"3","F",8.01," ",548," ",3985.9," ",4.46," ",4.4,"H15",10," ",2.61,"H84",43.53," ",26," ",0.0,"B",3076.2,"H195",1171.0," ",961.7,"H189",70.3," ",1.0," ",826.1," ",35.1," ",900.0," ",674," ",6.5," ",8.89," ",0.01,1.023,3530.267,33.871,3564.92,5280.15,5326.37,-46.22,5279.19,0.013,-0.44,26.02,595.33,535.02,1," "," "," " 
"OWW04440-0647",2004,1,"Yes",09/12/2004,09/12/2004,"1","F",8.24,"H4",628," ",4714.6," ",42.1," ",134.7," ",40," ",12.98," ",51.80,"H50",130," ",0.0,"B",3353.3," ",3190.7," ",591.5," ",146.4," ",2.6," ",1924.4,"H10",96.3,"H10",366.2,"H10",2663,"H79",0.0,"B",12.44,"H9",0.006,1.738,4224.176,68.827,4294.46,7284.32,6681.61,602.71,7281.95,0.02,4.32,129.38,790.95,676.84,2," ","ABOUT 20 YARDS DOWNSTREAM OF ROAD X'ING"," " 
"OWW04440-0649",2004,1,"Yes",09/30/2004,09/30/2004,"3","F",7.51,"H4",390," ",2625.5," ",19.2,"H4",48.4,"H15",40,"H4",9.53," ",33.76," ",547," ",0.0,"B",1324.6," ",715.3," ",1696.1," ",169.1," ",1.3," ",79.7," ",0.0,"B",1187.2," ",761," ",0.0,"B",10.48," ",0.031,0.324,2624.687,7.963,2632.77,3906.44,3899.87,6.57,3905.15,0.007,0.08,94.33,428.54,405.24,1," "," "," " 
"OWW04440-0650",2004,1,"Yes",10/06/2004,10/06/2004," "," ",7.09," ",140,"H8",492.5," ",4.99," ",1.4,"H16",25," ",4.61,"H15",6.29," ",37,"H43",0.2," ",466.0," ",364.6," ",348.9," ",57.2," ",1.8," ",194.9," ",137.4,"H8",410.4,"H8",2078,"H43",20.0," ",20.63," ",0.081,0.123,442.801,0.511,443.32,1238.51,1186.1,52.41,1236.65,0.003,2.16,45.27,145.35,135.04,2," "," "," " 
"OWW04440-0651",2004,1,"Yes",10/04/2004,10/04/2004,"11","J",7.53," ",1301,"H9",2343.3,"H8",1.48," ",3.8,"H16",10,"H4",3.37,"H15",30.23,"H4",21,"H35",0.0,"B",6639.3," ",5887.9," ",1139.6," ",147.7," ",0.9," ",12290.1,"H10",2.4," ",129.3," ",238,"H35",0.0,"B",9.06,"H8",0.03,0.339,2357.079,7.488,2364.72,13815.52,14786.74,-971.22,13814.58,0.052,-3.4,33.36,1873.63,1302.88,2," ","AT TRANSECT J - GOOD FLOWING WATER HERE."," " 
"OWW04440-0657",2004,1,"Yes",09/29/2004,09/29/2004,"2","F",8.19,"H5",258,"H8",2062.7,"H8",0.51,"H5",1.5,"H16",10,"H5",1.94," ",24.98," ",1," ",0.0,"B",1697.1," ",702.5," ",281.2," ",64.4," ",0.4," ",414.2," ",28.4," ",217.8," ",521," ",0.0,"B",6.59," ",0.006,1.549,2035.702,29.562,2066.68,2745.51,2727.12,18.39,2745.11,0.007,0.34,19.34,301.72,274.12,2," "," "," " 
"OWW04440-0658",2004,1,"Yes",09/30/2004,09/30/2004,"2","F",7.98,"H5",435,"H8",2755.8," ",1.5,"H4",4.2,"H15",15,"H4",3.07," ",35.12,"H25",11," ",0.0,"B",2620.8," ",1186.4," ",646.6," ",19.3," ",4.1," ",1062.9," ",4.0," ",780.0," ",230," ",0.0,"B",9.47," ",0.01,0.955,2844.561,25.47,2870.79,4477.16,4717.86,-240.7,4473.2,0.012,-2.62,30.57,526.21,463.01,2," "," "," " 
"OWW04440-0660",2004,1,"Yes",09/27/2004,09/27/2004,"1","X",7.47," ",145,"H8",738.2," ",2.68," ",5.8,"H15",15,"H4",1.84," ",9.22,"H4",2," ",0.0,"B",617.7," ",176.5," ",462.8," ",23.1," ",0.5," ",102.0," ",24.7," ",454.0,"H8",394," ",5.9," ",3.09," ",0.034,0.295,712.437,1.971,714.62,1280.69,1295.34,-14.65,1280.16,0.003,-0.57,18.16,147.48,139.96,2," "," "," " 
"OWW04440-0661",2004,1,"Yes",08/04/2004,08/04/2004,"6","F",7.46,"H5",596,"H8",2924.2,"H8",2.3,"H5",1.8,"H15",15,"H5",5.58," ",38.52," ",110," ",0.0,"H240B",3576.4,"H204",926.6," ",1180.0,"H208",117.4," ",8.4," ",2502.8," ",7.2," ",662.1," ",629," ",0.0,"H195B",13.59,"H8",0.035,0.288,2971.471,8.035,2979.56,5808.69,6151.89,-343.2,5800.35,0.017,-2.87,55.16,714.25,587.32,2," "," "," " 
"OWW04440-0663",2004,1,"Yes",08/24/2004,08/24/2004,"4","F",6.91," ",101,"H8",561.1,"H8",4.75," ",1.7,"H15",50," ",11.06,"H84",7.63," ",21," ",0.0,"B",419.6," ",317.1," ",169.2," ",17.6," ",2.4," ",106.3," ",0.8," ",217.2," ",508," ",23.1," ",8.69," ",0.123,0.081,497.715,0.379,498.02,925.93,822.45,103.48,923.39,0.002,5.92,107.89,99.07,93.16,2," "," "," " 
"OWW04440-0665",2004,1,"Yes",06/30/2004,06/30/2004,"2","F",6.02," ",39," ",241.4," ",17.6," ",18.7,"H19",100," ",28.05," ",4.06," ",92," ",0.0,"B",234.5," ",91.6," ",50.6," ",39.2," ",10.7," ",7.1," ",2.4," ",26.4," ",1449," ",0.8,"H211",5.44,"H8",0.955,0.01,107.415,0.011,106.47,427.63,143.27,284.36,415.97,0.001,49.81,257.8,32.87,32.32,2," "," "," " 
"OWW04440-0666",2004,1,"Yes",10/15/2004,10/15/2004," "," ",8.14,"H4",476," ",3660.6," ",0.884," ",0,"B",10,"H4",2.66,"H19",44.64," ",4,"H34",0.0," ",2873.7," ",1465.1," ",744.1," ",61.1," ",0.7," ",892.3," ",4.9," ",743.2," ",220,"H46",0.0,"B",3.59," ",0.007,1.38,3633.989,47.033,3682.16,5144.71,5322.74,-178.03,5144.03,0.013,-1.7,26.54,584.04,521.15,1," "," "," " 
"OWW04440-0669",2004,1,"Yes",08/05/2004,08/05/2004,"6","F",7.59,"H4",607," ",5153.9," ",1.73,"H4",3.9,"H15",10,"H4",1.18," ",60.54,"H11",5," ",0.0,"B",3398.3,"H203",1973.3," ",656.8," ",83.1," ",0.4," ",762.4," ",3.2," ",627.5," ",109," ",0.0,"H194B",13.79," ",0.026,0.389,4757.203,17.353,4774.6,6111.82,6168.06,-56.24,6111.45,0.015,-0.46,11.68,667.79,601.9,1," "," "," " 
"OWW04440-0670",2004,1,"Yes",09/13/2004,09/13/2004,"2","F",7.67," ",334," ",2803.3," ",2.07," ",8.7," ",0," ",1.76," ",36.43," ",34," ",0.0,"B",2446.1," ",719.7," ",179.2," ",68.1," ",1.2," ",505.4,"H9",61.5," ",201.8," ",1100," ",0.0,"B",5.54,"H8",0.021,0.468,2888.289,12.667,2901.21,3414.45,3670.09,-255.64,3413.24,0.009,-3.61,17.5,387.42,350.8,1," "," "," " 
"OWW04440-0672",2004,1,"Yes",09/12/2004,09/12/2004,"2","F",7.52," ",428," ",4020.8," ",4.69," ",54.3," ",15," ",2.24," ",46.03,"H47",56," ",0.0,"B",3366.3," ",674.4," ",259.2," ",48.1," ",4.6," ",313.1," ",8.9," ",277.3," ",390," ",0.0,"B",8.90,"H9",0.03,0.331,3583.697,11.126,3594.88,4352.65,4194.5,158.15,4348.05,0.011,1.85,22.2,459.96,424.65,2," "," "," " 
"OWW04440-0676",2004,1,"Yes",09/14/2004,09/14/2004,"1","F",7.54," ",75," ",447.1," ",4.43," ",14.8,"H15",10," ",1.26,"H16",5.30," ",40," ",0.0,"B",297.5," ",186.9," ",140.8," ",52.4," ",0.8," ",94.8," ",95.4,"H8",67.0," ",1530," ",42.5," ",17.70," ",0.029,0.347,413.609,1.345,415.25,678.43,672.47,5.97,677.63,0.002,0.44,12.5,76.64,71.7,2," "," "," " 
"OWW04440-0677",2004,1,"Yes",07/15/2004,07/15/2004,"1","G",7.02,"H6",151,"H11",1035.2,"H8",12.6,"H5",7.5,"H18",45,"H5",10.90," ",13.49,"H4",122," ",0.0,"H190B",553.5," ",503.5," ",329.9," ",128.0," ",3.8," ",177.3,"H8",28.1,"H8",218.9,"H8",1434," ",0.0,"H214B",9.73,"H8",0.095,0.105,924.055,0.907,924.91,1518.78,1349.34,169.44,1514.92,0.003,5.91,106.66,159.94,149.25,4," "," "," " 
"OWW04440-0678",2004,1,"Yes",10/11/2004,10/11/2004,"16","F",7.34," ",335," ",1045.9," ",3.47," ",0.4," ",10," ",2.55," ",13.19," ",19,"H38",0.0,"B",1438.9," ",531.1," ",908.9," ",88.0," ",5.7," ",757.5," ",63.7," ",1205.7," ",1054,"H38",18.9," ",13.23," ",0.046,0.219,994.979,2.041,997.13,2972.69,3024.1,-51.41,2966.99,0.007,-0.86,25.21,367.75,327.27,1," "," "," " 
"OWW04440-0680",2004,1,"Yes",11/09/2004,11/09/2004,"11","X",7.63," ",428," ",3776.5," ",2.79," ",1.9," ",15," ",3.86," ",44.26," ",61," ",0.0,"B",2983.5," ",917.7," ",359.9," ",123.6," ",1.4," ",603.7,"H13",27.8," ",202.7," ",638," ",10.4," ",13.50,"H8",0.023,0.427,3494.101,13.975,3508.24,4386.13,4342.76,43.36,4384.77,0.011,0.5,38.3,475.58,429.39,1," "," "," " 
"OWW04440-0682",2004,1,"Yes",08/24/2004,08/24/2004,"2","F",7.39," ",82,"H8",283.1,"H8",0.357," ",1.8,"H16",15," ",2.14,"H84",3.54," ",4," ",0.0,"B",375.8," ",123.3," ",168.2," ",27.8,"H190",0.4," ",171.8," ",36.9," ",202.3," ",595," ",14.5," ",5.24," ",0.041,0.245,269.475,0.62,270.28,695.51,681.33,14.18,695.12,0.002,1.03,21.09,83.29,75.36,2," "," "," " 
"OWW04440-0683",2004,1,"Yes",10/15/2004,10/15/2004,"5","F",7.57,"H4",91," ",832.0," ",67.7,"H5",32,"H17",5,"H7",1.09,"H20",10.57,"H7",73,"H34",0.1," ",572.7," ",311.9," ",31.4," ",14.7," ",2.9," ",111.1," ",1.6," ",5.2," ",778,"H34",5.7," ",4.38,"H11",0.027,0.372,828.28,2.885,831.46,933.52,949.35,-15.83,930.69,0.002,-0.84,10.84,99.98,93.14,4," "," "," " 
"OWW04440-0686",2004,1,"Yes",07/26/2004,07/26/2004,"7","G",5.91," ",38,"H8",170.2,"H44",5.69,"H4",77.8," ",30," ",1.91," ",8.27," ",42," ",0.0,"H212B",152.9,"H213",69.9," ",28.6," ",15.8," ",23.3," ",47.5," ",15.9," ",59.5," ",645," ",0.0,"H203B",4.10," ",1.23,0.008,182.787,0.014,181.57,291.69,305.69,-14,267.13,0.001,-2.34,17.34,35.14,32.92,1," "," "," " 
"OWW04440-0692",2004,1,"Yes",09/29/2004,09/29/2004,"1","F",6.46,"H5",250,"H8",819.6,"H8",28,"H5",64.2,"H16",95,"H5",21.85,"H49",13.81," ",607," ",0.3," ",431.1," ",332.3," ",641.6," ",788.2," ",10.1," ",204.4," ",58.6," ",949.3," ",2181," ",0.4," ",7.42," ",0.347,0.029,645.822,0.175,645.63,2203.61,1858.36,345.25,2193.15,0.003,8.5,208.37,255.9,240.87,2," "," "," " 
"OWW04440-0693",2004,1,"Yes",09/29/2004,09/29/2004,"1","F",7.13,"H5",46,"H8",287.8,"H8",2.44,"H5",2.4,"H16",15,"H5",2.71," ",4.20," ",12," ",0.0,"B",110.9," ",133.2," ",118.9," ",36.7," ",0.8," ",31.7," ",0.6," ",63.7," ",250," ",0.0,"B",3.83," ",0.074,0.135,299.825,0.379,300.25,400.6,396.41,4.19,399.75,0.001,0.53,26.61,43.23,41.35,2," "," "," " 
"OWW04440-0694",2004,1,"Yes",09/30/2004,09/30/2004,"2","F",7.70,"H5",114,"H8",1056.1," ",0.782,"H6",1,"H18",0,"H7",0.94," ",12.71,"H25",2," ",0.9," ",740.7," ",360.9," ",55.6," ",26.5," ",0.2," ",57.6," ",5.9," ",50.3," ",129," ",0.0,"B",8.49,"H12",0.02,0.501,1010.706,4.749,1015.87,1183.95,1129.73,54.22,1183.72,0.003,2.34,9.37,122.2,116.59,4,"SiO2 da from 10/13/04"," "," " 
"OWW04440-0696",2004,1,"Yes",09/22/2004,09/22/2004,"1","F",7.87,"H5",764,"H8",6424.5," ",1.36,"H5",1.6,"H16",15,"H6",3.61,"H15",74.17,"H40",48," ",0.0,"B",3968.8," ",4037.5," ",324.8," ",88.6," ",3.3," ",927.1," ",579.3," ",984.2," ",8816," ",0.0,"B",10.36," ",0.013,0.741,5973.925,41.522,6015.77,8422.85,8506.88,-84.03,8419.67,0.022,-0.5,35.87,932.54,841.49,2," "," "," " 
"OWW04440-0697",2004,1,"Yes",06/30/2004,06/30/2004,"2","F",7.88," ",369," ",3912.2," ",1.66," ",2.1,"H19",10," ",1.95," ",44.99," ",7," ",0.0,"H205B",1910.9," ",2012.8," ",94.9,"H240",46.0," ",1.2," ",65.1," ",4.5," ",138.9," ",187," ",7.3,"H211",8.34,"H8",0.013,0.759,3625.7,25.788,3651.99,4065.81,3860.76,205.05,4064.63,0.01,2.59,19.4,407.96,383.63,2," "," "," " 
"OWW04440-0698",2004,1,"Yes",10/05/2004,10/05/2004,"1","F",7.16," ",54,"H8",243.7," ",0.823," ",2.2,"H16",10," ",0.90," ",3.35," ",3,"H34",0.4," ",282.1," ",111.1," ",41.2," ",21.4," ",0.2," ",185.2," ",5.7," ",17.5," ",127,"H34",0.0,"B",4.79," ",0.069,0.145,241.412,0.327,241.8,456.09,450.24,5.84,455.81,0.001,0.64,8.83,53.69,45.73,2," "," "," " 
"OWW04440-0700",2004,1,"Yes",09/20/2004,09/20/2004,"2","I",7.85,"H4",687,"H9",6642.7," ",10.7,"H4",31.2,"H16",15," ",4.22,"H58",76.95,"H42",110," ",0.0,"B",3681.2," ",3490.6," ",462.6," ",102.5," ",7.1," ",687.1," ",15.9," ",679.0," ",828," ",26.9," ",8.09," ",0.014,0.708,6189.717,41.086,6231.08,7743.65,7613.45,130.19,7736.81,0.02,0.85,41.99,821.47,742.65,2," "," "," " 
"OWW04440-0708",2004,1,"Yes",09/02/2004,09/02/2004,"1","F",7.13,"H5",36,"H11",215.9,"H11",1.78,"H5",5.4,"H15",10,"H6",1.50," ",2.96,"H53",17," ",0.0,"B",157.4," ",53.8," ",89.7," ",20.3,"H189",0.4," ",37.9,"H11",11.2,"H11",50.8,"H11",236," ",3.7," ",9.86," ",0.074,0.135,211.203,0.267,211.52,321.66,311.53,10.13,321.23,0.001,1.6,14.75,35.4,33.49,5," "," "," " 
"OWW04440-0709",2004,1,"Yes",07/16/2004,07/16/2004,"1","F",6.14,"H4",35," ",117.7," ",2.78,"H4",1.6," ",10,"H4",0.77," ",3.62," ",3," ",0.0,"H189B",72.0," ",86.9," ",93.5," ",36.2," ",0.9," ",56.2," ",5.1," ",120.1," ",146," ",0.0,"H195B",8.58," ",0.724,0.014,114.664,0.015,113.96,290.14,296.09,-5.95,288.56,0.001,-1.02,7.18,35.67,33.11,1," "," "," " 
"OWW04440-0712",2004,1,"Yes",09/10/2004,09/10/2004,"2","F",7.11," ",238," ",1060.7," ",0.303," ",11.4," ",0," ",1.33,"H67",14.16,"H4",8," ",0.0,"B",1001.6," ",578.8," ",617.0," ",47.8," ",0.8," ",656.9,"H10",4.5," ",552.7,"H10",240," ",1.8," ",7.14," ",0.078,0.129,1002.919,1.211,1004.11,2246.1,2218.35,27.75,2245.24,0.006,0.62,13.07,264.53,232.01,3," "," "," " 
"OWW04440-0713",2004,1,"Yes",10/20/2004,10/20/2004,"2","F",6.70,"X2",116," ",362.4," ",9.98," ",21.8," ",20," ",4.97,"H15",6.50," ",37,"H29",0.6," ",318.9," ",390.6," ",255.7," ",59.4," ",4.8," ",410.2," ",2.0," ",224.4," ",338,"H29",0.0,"B",22.67," ",0.2,0.05,373.612,0.176,373.61,1029.61,1010.46,19.15,1024.64,0.003,0.94,48.06,123.99,105.86,2,"PHSTVL REPLACED WITH CALCULATED VALUE FROM ANC/DIC, ORIGINAL VALUE=5.8, LAB RERUN 6/1/05=7.32 (NON CLOSED HEADSPACE)"," "," " 
"OWW04440-0717",2004,1,"Yes",09/04/2004,09/04/2004," "," ",8.01," ",253,"H9",2140.7,"H9",0.681," ",1.4," ",10,"H4",2.25," ",26.12,"H51",4," ",0.0,"B",2072.3," ",398.9," ",104.3," ",13.2,"H187",0.4," ",448.7,"H12",0.0,"H9B",54.2,"H9",110," ",0.0,"B",9.18," ",0.01,1.023,2118.205,20.323,2139.41,2589.1,2642.44,-53.34,2588.68,0.007,-1.02,22.4,286.51,257.53,3," "," ","CHEMISTRY SAMPLED ON A DIFFERENT DATE" 
"OWW04440-0723",2004,1,"Yes",08/12/2004,08/12/2004,"1","F",7.16,"H4",224," ",1160.6," ",24.8,"H4",16.3," ",20,"H4",6.13," ",15.82,"H5",81," ",0.0,"B",951.1," ",457.4," ",659.4," ",82.6," ",2.7," ",779.9,"H11",16.6," ",226.0," ",828," ",0.0,"H187B",10.70," ",0.069,0.145,1139.168,1.544,1140.71,2153.28,2163.29,-10,2150.52,0.005,-0.23,60.26,251.77,214.51,1," "," "," " 
"OWW04440-0725",2004,1,"Yes",07/20/2004,07/20/2004,"1","G",6.47,"H5",22,"H9",42.4,"H8",1.17," ",1.5,"H15",10," ",0.74," ",1.04," ",4,"H34",0.0,"H218B",33.0,"H254",59.7," ",67.1," ",14.9," ",0.4," ",64.5," ",5.6," ",66.5," ",144,"H34",0.0,"H209B",9.07," ",0.339,0.03,48.978,0.014,48.68,175.4,185.57,-10.17,174.7,0,-2.82,7.11,22.54,19.82,2," "," "," " 
"OWW04440-0727",2004,1,"Yes",10/12/2004,10/12/2004,"4","C",7.59," ",158,"H9",1544.9,"H8",1.37," ",17.2,"H15",60," ",13.60,"H22",19.10," ",56,"H37",0.5," ",892.0," ",581.7," ",173.0," ",14.8," ",1.9," ",65.9," ",2.1," ",41.1," ",583,"H37",0.0,"B",17.05," ",0.026,0.389,1501,5.475,1506.74,1663.3,1615.96,47.34,1661.45,0.004,1.44,134.74,169.58,161.24,2," "," "," " 
"OWW04440-0736",2004,1,"Yes",10/08/2004,10/08/2004,"2","K",7.45,"H4",2637," ",4123.7," ",15,"H4",28," ",20,"H4",3.18," ",47.31,"H28",142,"H41",1.0," ",6478.8," ",3287.0," ",14401.4," ",93.9," ",10.2," ",4570.9," ",9.7," ",16484.3," ",836,"H41",38.8," ",1.40," ",0.035,0.282,3643.819,9.629,3653.45,24271.19,24718.69,-447.49,24261.09,0.046,-0.91,31.49,3075.54,2558.54,1," "," "," " 
"OWW04440-0739",2004,1,"Yes",09/08/2004,09/08/2004,"1","F",7.81,"H5",473," ",5095.2," ",182," ",226.4," ",15,"H5",4.91," ",52.50,"H51",420," ",0.0,"B",3372.9,"H184",1480.6," ",460.3," ",139.9,"H183",7.9," ",449.9,"H14",2.6," ",143.7," ",1889," ",2.2," ",14.60," ",0.015,0.646,4211.911,25.498,4237.75,5461.39,4834.28,627.11,5453.7,0.013,6.09,48.8,549.43,502.42,2," "," "," " 
"OWW04440-0743",2004,1,"Yes",10/05/2004,10/05/2004,"4","F",8.20," ",778,"H8",6698.7," ",19.7," ",13.8,"H15",5," ",2.58," ",72.90,"H27",50,"H34",0.1," ",4145.0," ",4334.9," ",458.2," ",53.2," ",4.2," ",1299.0," ",59.1," ",717.6," ",1046,"H34",0.0,"B",14.09," ",0.006,1.585,5941.64,88.293,6031.11,8995.2,8107.25,887.95,8991.29,0.023,5.19,25.74,937.14,829.64,1," "," "," " 
"OWW04440-0747",2004,1,"Sample lost",10/09/2004, ," "," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", ," ", , , , , , , , , , , , , , , ," "," ","SITE SAMPLED, NEVER RECEIVED AT LAB" 
"OWW04440-0750",2004,1,"Yes",07/28/2004,07/28/2004,"7","F",7.23,"H5",149," ",422.1,"H9",2.92,"H6",3.4,"H15",5," ",1.90," ",5.11," ",5," ",0.0,"H210B",333.4," ",421.0," ",543.7," ",39.8," ",0.4," ",879.4," ",10.3," ",39.3," ",225," ",0.0,"H201B",9.62," ",0.059,0.17,375.275,0.598,375.96,1338.42,1304.98,33.44,1337.94,0.004,1.27,18.71,163.2,125.4,1," "," "," " 
"OWW04440-0752",2004,1,"Yes",10/06/2004,10/06/2004,"2","F",8.09," ",749," ",6726.9," ",0.536," ",3.1,"H15",5," ",2.80," ",72.33,"H26",29,"H33",0.0,"B",4406.2," ",3175.1," ",341.9," ",81.0," ",0.4," ",845.1," ",120.9," ",600.7," ",1828,"H33",0.0,"B",11.90," ",0.008,1.23,5881.289,67.841,5949.96,8004.52,7517.01,487.51,8004.18,0.021,3.14,27.9,842.16,757.55,1," "," "," " 
"OWW04440-0760",2004,1,"Yes",10/06/2004,10/06/2004,"2","F",8.20," ",866,"H8",5266.6," ",17.8," ",24,"H16",15," ",6.16,"H15",58.92,"H30",275,"H33",0.2," ",3747.2," ",2064.5," ",2523.5," ",130.3," ",1.0," ",869.6,"H8",15.7," ",2836.7,"H8",2113,"H33",23.8," ",8.50," ",0.006,1.585,4801.935,71.357,4874.55,8466.36,8596.92,-130.56,8465.43,0.019,-0.77,61.44,974.39,882.28,2," "," "," " 
"OWW04440-0762",2004,1,"Yes",10/09/2004,10/09/2004,"2","H",7.72,"H4",681,"H9",3920.9," ",2.11,"H5",0.6,"H16",0,"H5",3.38," ",44.94,"H27",17,"H40",0.7," ",3881.5," ",1378.0," ",1252.6," ",108.8," ",0.4," ",1572.7," ",109.3," ",1497.4," ",1738,"H40",28.7," ",10.16," ",0.019,0.525,3579.536,17.613,3597.41,6621.26,6777.11,-155.85,6620.83,0.017,-1.16,33.55,783.13,686.07,3," "," "," " 
"OWW04440-0766",2004,1,"Yes",09/20/2004,09/20/2004,"2","F",7.47,"H4",110,"H9",668.2," ",4.98,"H4",2.1,"H15",10," ",1.99,"H57",8.62,"H4",10," ",0.0,"B",629.1," ",300.2," ",102.6," ",61.4," ",0.1," ",260.7," ",32.2," ",103.4," ",552," ",17.3," ",7.17," ",0.034,0.295,666.084,1.843,668.15,1093.43,1064.56,28.87,1093.25,0.003,1.34,19.71,123.87,111.22,2," "," "," " 
"OWW04440-0771",2004,1,"Yes",10/25/2004,10/25/2004,"2","F",7.38,"H4",390,"H9",3083.9," ",17.5," ",22.2,"H16",10," ",3.12," ",35.42,"H4",97," ",0.0,"B",1769.7," ",420.7," ",1361.3," ",66.4," ",1.4," ",190.5,"H9",3.2,"H9",1147.6,"H10",273," ",39.5," ",17.75,"H8",0.042,0.24,2693.329,6.058,2699.4,3619.56,4040.9,-421.34,3618.11,0.007,-5.5,30.85,424.07,397.18,2," ","SAMPLE WAS CONTAINED IN DISTILLED GALLON CONTAINER FOR LIMITED TIME AS WE WERE SHORT SAMPLING SUPPLIES/TRANSFERRED SAMPLE AS SOON AS WE COULD."," " 
"OWW04440-0772",2004,1,"Yes",09/16/2004,09/16/2004,"2","F",7.35,"H4",168," ",820.7," ",11.3,"H4",9.3," ",10,"H4",2.39," ",9.82," ",18," ",0.0,"B",654.0," ",549.1," ",253.7," ",71.6," ",0.7," ",477.9," ",34.3," ",266.2," ",720," ",12.3," ",6.68," ",0.045,0.224,742.516,1.559,744.2,1529.22,1522.69,6.53,1528.47,0.004,0.21,23.63,180.22,157.77,1," "," "," " 
"OWW04440-0773",2004,1,"Yes",09/28/2004,09/28/2004,"9","F",8.23," ",503,"H204",4615.2," ",23.2," ",40.5,"H16",15," ",3.88,"H15",53.10,"H34",119," ",0.0,"B",2798.5," ",1682.9," ",888.0," ",110.4," ",0.6," ",648.7,"H8",0.0,"B",412.2,"H8",508," ",0.0,"B",15.64," ",0.006,1.698,4329.771,68.942,4400.12,5480.45,5461.3,19.15,5479.86,0.013,0.18,38.63,589.39,531.35,2," "," "," " 
"OWW04440-0774",2004,1,"Yes",10/10/2004,10/10/2004,"1","K",7.83," ",541,"H8",2518.9," ",0.576,"H4",12,"H15",10,"H4",2.64," ",31.54," ",22,"H39",0.0,"B",2284.1," ",1061.1," ",1724.9," ",91.1," ",0.9," ",619.2," ",65.9," ",2004.4," ",1150,"H39",14.6," ",4.34," ",0.015,0.676,2533.698,16.061,2550.25,5162.05,5239.92,-77.87,5161.2,0.011,-0.75,26.2,606.41,555.14,2," "," "," " 
"OWW04440-0775",2004,1,"Yes",10/23/2004,10/23/2004," "," ",7.87,"H4",638,"H9",5268.5,"H9",1.26,"H5",4.2,"H16",30,"H5",8.16," ",53.75,"H13",13," ",0.0,"B",1684.7," ",3965.0," ",1679.8," ",145.4," ",0.5," ",2039.0,"H12",2.4,"H11",527.3,"H12",311," ",0.0,"B",12.28,"H10",0.013,0.741,4329.231,30.091,4359.76,7475.39,6928.75,546.63,7474.89,0.019,3.79,81.15,803.59,682.86,3," "," "," " 
"OWW04440-0784",2004,1,"Yes",10/22/2004,10/22/2004,"2","F",7.91,"H5",653,"H10",5786.0,"H10",2.67,"H6",7,"H17",10,"H6",1.89," ",61.10,"H14",42," ",0.0,"B",3745.2," ",3663.7," ",259.9," ",32.2," ",1.6," ",718.2,"H13",724.1,"H13",677.6,"H13",9424,"H39",0.3," ",10.15,"H11",0.012,0.813,4932.09,37.588,4970.15,7702.54,7090.35,612.2,7700.95,0.02,4.14,18.77,815.52,743.78,4," "," "," " 
"OWW04440-0785",2004,1,"Yes",07/20/2004,07/20/2004,"3","F",7.91," ",1474,"H9",3380.4,"H8",2.08," ",0.9,"H15",10," ",0.97," ",41.09," ",1,"H34",0.0,"H218B",2538.7," ",2156.8," ",9830.7,"H232",85.1," ",1.2," ",9275.1," ",16.4," ",2854.7," ",294,"H34",1.4,"H209",11.62," ",0.012,0.813,3316.851,25.278,3342.71,14612.57,15489.13,-876.56,14611.39,0.036,-2.91,9.64,1874.49,1375.89,2," "," "," " 
